"INDICATOR","HFA_617"

"HFA_617","GINI coefficient (income distribution)"

"UNIT_TYPE","Unit"
"SCORE","score"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"SCORE","Score"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"
"JMF","Joint Monitoring Framework (JMF)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1996","27"
"ALB","","ALL","2002","31.7"
"ALB","","ALL","2005","30.6"
"ALB","","ALL","2008","30"
"ALB","","ALL","2012","29"
"ALB","","ALL","2014","34.6"
"ALB","","ALL","2015","32.9"
"ALB","","ALL","2016","33.7"
"ALB","","ALL","2017","33.2"
"ARM","","ALL","1999","36.2"
"ARM","","ALL","2001","35.4"
"ARM","","ALL","2002","34.8"
"ARM","","ALL","2003","33"
"ARM","","ALL","2004","37.5"
"ARM","","ALL","2005","36"
"ARM","","ALL","2006","29.7"
"ARM","","ALL","2007","31.2"
"ARM","","ALL","2008","29.2"
"ARM","","ALL","2009","28"
"ARM","","ALL","2010","30"
"ARM","","ALL","2011","29.4"
"ARM","","ALL","2012","29.6"
"ARM","","ALL","2013","30.6"
"ARM","","ALL","2014","31.5"
"ARM","","ALL","2015","32.4"
"ARM","","ALL","2016","32.5"
"ARM","","ALL","2017","33.6"
"ARM","","ALL","2018","34.4"
"ARM","","ALL","2019","29.9"
"AUT","","ALL","1995","27"
"AUT","","ALL","1996","26"
"AUT","","ALL","1997","25"
"AUT","","ALL","1998","24"
"AUT","","ALL","1999","26"
"AUT","","ALL","2000","28.8"
"AUT","","ALL","2001","24"
"AUT","","ALL","2002","27.2"
"AUT","","ALL","2003","29.5"
"AUT","","ALL","2004","29.8"
"AUT","","ALL","2005","28.7"
"AUT","","ALL","2006","29.6"
"AUT","","ALL","2007","30.6"
"AUT","","ALL","2008","30.4"
"AUT","","ALL","2009","31.5"
"AUT","","ALL","2010","30.3"
"AUT","","ALL","2011","30.8"
"AUT","","ALL","2012","30.5"
"AUT","","ALL","2013","30.8"
"AUT","","ALL","2014","30.5"
"AUT","","ALL","2015","30.5"
"AUT","","ALL","2016","30.8"
"AUT","","ALL","2017","29.7"
"AUT","","ALL","2018","30.8"
"AUT","","ALL","2019","27.5"
"AZE","","ALL","1995","34.7"
"AZE","","ALL","2001","36.5"
"AZE","","ALL","2002","25.3"
"AZE","","ALL","2003","26.8"
"AZE","","ALL","2004","26.6"
"AZE","","ALL","2005","26.6"
"BEL","","ALL","1995","29"
"BEL","","ALL","1996","28"
"BEL","","ALL","1997","27"
"BEL","","ALL","1998","27"
"BEL","","ALL","1999","29"
"BEL","","ALL","2000","33.1"
"BEL","","ALL","2001","28"
"BEL","","ALL","2002","26.3"
"BEL","","ALL","2003","28.1"
"BEL","","ALL","2004","30.5"
"BEL","","ALL","2005","29.3"
"BEL","","ALL","2006","28.1"
"BEL","","ALL","2007","29.2"
"BEL","","ALL","2008","28.4"
"BEL","","ALL","2009","28.6"
"BEL","","ALL","2010","28.4"
"BEL","","ALL","2011","28.1"
"BEL","","ALL","2012","27.5"
"BEL","","ALL","2013","27.7"
"BEL","","ALL","2014","28.1"
"BEL","","ALL","2015","27.7"
"BEL","","ALL","2016","27.6"
"BEL","","ALL","2017","27.4"
"BEL","","ALL","2018","27.2"
"BEL","","ALL","2019","25.1"
"BGR","","ALL","1999","40.8"
"BGR","","ALL","2000","25"
"BGR","","ALL","2001","26"
"BGR","","ALL","2002","26"
"BGR","","ALL","2003","37"
"BGR","","ALL","2004","35.4"
"BGR","","ALL","2005","35.4"
"BGR","","ALL","2006","35.7"
"BGR","","ALL","2007","36.1"
"BGR","","ALL","2008","33.6"
"BGR","","ALL","2009","33.8"
"BGR","","ALL","2010","35.7"
"BGR","","ALL","2011","34.3"
"BGR","","ALL","2012","36"
"BGR","","ALL","2013","36.6"
"BGR","","ALL","2014","37.4"
"BGR","","ALL","2015","38.6"
"BGR","","ALL","2016","40.6"
"BGR","","ALL","2017","40.4"
"BGR","","ALL","2018","41.3"
"BGR","","ALL","2019","40.8"
"BIH","","ALL","2001","30"
"BIH","","ALL","2004","34"
"BIH","","ALL","2007","33.1"
"BIH","","ALL","2011","33"
"BIH","","ALL","2015","32.7"
"BLR","","ALL","1998","32"
"BLR","","ALL","1999","31.7"
"BLR","","ALL","2000","31.2"
"BLR","","ALL","2001","30.6"
"BLR","","ALL","2002","30.3"
"BLR","","ALL","2003","28.8"
"BLR","","ALL","2004","26.5"
"BLR","","ALL","2005","27.6"
"BLR","","ALL","2006","28.3"
"BLR","","ALL","2007","29.6"
"BLR","","ALL","2008","27.8"
"BLR","","ALL","2009","27.7"
"BLR","","ALL","2010","28.6"
"BLR","","ALL","2011","27.2"
"BLR","","ALL","2012","26.5"
"BLR","","ALL","2013","26.6"
"BLR","","ALL","2014","27.2"
"BLR","","ALL","2015","25.6"
"BLR","","ALL","2016","25.3"
"BLR","","ALL","2017","25.4"
"BLR","","ALL","2018","25.2"
"BLR","","ALL","2019","25.3"
"","CARINFONET","ALL","1998","40.33"
"","CARINFONET","ALL","2002","33.79"
"","CARINFONET","ALL","2003","34.47"
"","CARINFONET","ALL","2004","34.62"
"","CARINFONET","ALL","2007","33.92"
"","CARINFONET","ALL","2009","32.91"
"","CARINFONET","ALL","2015","32.8"
"CHE","","ALL","1999","30.6"
"CHE","","ALL","2000","33.4"
"CHE","","ALL","2001","30.1"
"CHE","","ALL","2002","31.7"
"CHE","","ALL","2003","29.6"
"CHE","","ALL","2004","29.5"
"CHE","","ALL","2005","28.5"
"CHE","","ALL","2006","33.9"
"CHE","","ALL","2007","34.3"
"CHE","","ALL","2008","33.8"
"CHE","","ALL","2009","32.9"
"CHE","","ALL","2010","32.6"
"CHE","","ALL","2011","31.7"
"CHE","","ALL","2012","31.6"
"CHE","","ALL","2013","32.5"
"CHE","","ALL","2014","32.5"
"CHE","","ALL","2015","32.3"
"CHE","","ALL","2016","33"
"CHE","","ALL","2017","32.7"
"CHE","","ALL","2018","33.1"
"CHE","","ALL","2019","30.6"
"","CIS","ALL","1998","37.34"
"","CIS","ALL","2001","34.98"
"","CIS","ALL","2002","34.44"
"","CIS","ALL","2003","35.92"
"","CIS","ALL","2004","36.12"
"","CIS","ALL","2005","37.08"
"","CIS","ALL","2006","36.54"
"","CIS","ALL","2007","36.7"
"","CIS","ALL","2008","36.01"
"","CIS","ALL","2009","34.75"
"","CIS","ALL","2010","34.58"
"","CIS","ALL","2011","34.54"
"","CIS","ALL","2012","35.05"
"","CIS","ALL","2013","35.11"
"","CIS","ALL","2014","34.48"
"","CIS","ALL","2015","33.59"
"","CIS","ALL","2016","33.02"
"","CIS","ALL","2017","33.47"
"","CIS","ALL","2018","33.66"
"CYP","","ALL","1997","29"
"CYP","","ALL","1999","31.1"
"CYP","","ALL","2000","29.1"
"CYP","","ALL","2001","30.8"
"CYP","","ALL","2002","32.1"
"CYP","","ALL","2003","33.6"
"CYP","","ALL","2004","30.1"
"CYP","","ALL","2005","30.3"
"CYP","","ALL","2006","31.1"
"CYP","","ALL","2007","31.1"
"CYP","","ALL","2008","31.7"
"CYP","","ALL","2009","32.1"
"CYP","","ALL","2010","31.5"
"CYP","","ALL","2011","32.6"
"CYP","","ALL","2012","34.3"
"CYP","","ALL","2013","37"
"CYP","","ALL","2014","35.6"
"CYP","","ALL","2015","34"
"CYP","","ALL","2016","32.9"
"CYP","","ALL","2017","31.4"
"CYP","","ALL","2018","32.7"
"CYP","","ALL","2019","31.1"
"CZE","","ALL","1999","24"
"CZE","","ALL","2000","24"
"CZE","","ALL","2001","25"
"CZE","","ALL","2002","26.6"
"CZE","","ALL","2003","25"
"CZE","","ALL","2004","27.5"
"CZE","","ALL","2005","26.9"
"CZE","","ALL","2006","26.7"
"CZE","","ALL","2007","26"
"CZE","","ALL","2008","26.3"
"CZE","","ALL","2009","26.2"
"CZE","","ALL","2010","26.6"
"CZE","","ALL","2011","26.4"
"CZE","","ALL","2012","26.1"
"CZE","","ALL","2013","26.5"
"CZE","","ALL","2014","25.9"
"CZE","","ALL","2015","25.9"
"CZE","","ALL","2016","25.4"
"CZE","","ALL","2017","24.9"
"CZE","","ALL","2018","25"
"CZE","","ALL","2019","24"
"DEU","","ALL","1995","29"
"DEU","","ALL","1996","27"
"DEU","","ALL","1997","25"
"DEU","","ALL","1998","25"
"DEU","","ALL","1999","25"
"DEU","","ALL","2000","28.8"
"DEU","","ALL","2001","30.3"
"DEU","","ALL","2002","29.9"
"DEU","","ALL","2003","30"
"DEU","","ALL","2004","30.4"
"DEU","","ALL","2005","32.1"
"DEU","","ALL","2006","31.3"
"DEU","","ALL","2007","31.3"
"DEU","","ALL","2008","31.1"
"DEU","","ALL","2009","30.5"
"DEU","","ALL","2010","30.2"
"DEU","","ALL","2011","30.5"
"DEU","","ALL","2012","30.9"
"DEU","","ALL","2013","31.1"
"DEU","","ALL","2014","30.9"
"DEU","","ALL","2015","31.7"
"DEU","","ALL","2016","31.9"
"DEU","","ALL","2017","29.1"
"DEU","","ALL","2018","31.1"
"DEU","","ALL","2019","29.7"
"DNK","","ALL","1995","20"
"DNK","","ALL","1997","20"
"DNK","","ALL","1999","21"
"DNK","","ALL","2000","23.8"
"DNK","","ALL","2001","22"
"DNK","","ALL","2002","27.7"
"DNK","","ALL","2003","25.6"
"DNK","","ALL","2004","24.9"
"DNK","","ALL","2005","25.2"
"DNK","","ALL","2006","25.9"
"DNK","","ALL","2007","26.2"
"DNK","","ALL","2008","25.2"
"DNK","","ALL","2009","26.7"
"DNK","","ALL","2010","27.2"
"DNK","","ALL","2011","27.3"
"DNK","","ALL","2012","27.8"
"DNK","","ALL","2013","28.5"
"DNK","","ALL","2014","28.4"
"DNK","","ALL","2015","28.2"
"DNK","","ALL","2016","28.2"
"DNK","","ALL","2017","28.7"
"DNK","","ALL","2018","28.2"
"DNK","","ALL","2019","27.5"
"ESP","","ALL","1995","34"
"ESP","","ALL","1996","34"
"ESP","","ALL","1997","35"
"ESP","","ALL","1998","34"
"ESP","","ALL","1999","33"
"ESP","","ALL","2000","34.3"
"ESP","","ALL","2001","33"
"ESP","","ALL","2002","31"
"ESP","","ALL","2003","31.8"
"ESP","","ALL","2004","33.3"
"ESP","","ALL","2005","32.4"
"ESP","","ALL","2006","33.5"
"ESP","","ALL","2007","34.1"
"ESP","","ALL","2008","34.2"
"ESP","","ALL","2009","34.9"
"ESP","","ALL","2010","35.2"
"ESP","","ALL","2011","35.7"
"ESP","","ALL","2012","35.4"
"ESP","","ALL","2013","36.2"
"ESP","","ALL","2014","36.1"
"ESP","","ALL","2015","36.2"
"ESP","","ALL","2016","35.8"
"ESP","","ALL","2017","34.7"
"ESP","","ALL","2018","34.7"
"ESP","","ALL","2019","33"
"EST","","ALL","1999","30.5"
"EST","","ALL","2000","36"
"EST","","ALL","2001","35"
"EST","","ALL","2002","35"
"EST","","ALL","2003","37.2"
"EST","","ALL","2004","33.6"
"EST","","ALL","2005","33.4"
"EST","","ALL","2006","33.7"
"EST","","ALL","2007","31.2"
"EST","","ALL","2008","31.9"
"EST","","ALL","2009","31.4"
"EST","","ALL","2010","32"
"EST","","ALL","2011","32.5"
"EST","","ALL","2012","32.9"
"EST","","ALL","2013","35.1"
"EST","","ALL","2014","34.6"
"EST","","ALL","2015","32.7"
"EST","","ALL","2016","31.2"
"EST","","ALL","2017","30.4"
"EST","","ALL","2018","30.3"
"EST","","ALL","2019","30.5"
"","EU_AFTER_MAY2004","ALL","1999","30.31"
"","EU_AFTER_MAY2004","ALL","2000","28.07"
"","EU_AFTER_MAY2004","ALL","2001","28.48"
"","EU_AFTER_MAY2004","ALL","2002","28.71"
"","EU_AFTER_MAY2004","ALL","2003","31.64"
"","EU_AFTER_MAY2004","ALL","2004","34.14"
"","EU_AFTER_MAY2004","ALL","2005","33.8"
"","EU_AFTER_MAY2004","ALL","2006","33.54"
"","EU_AFTER_MAY2004","ALL","2007","32.77"
"","EU_AFTER_MAY2004","ALL","2008","32.28"
"","EU_AFTER_MAY2004","ALL","2009","32.18"
"","EU_AFTER_MAY2004","ALL","2010","32.35"
"","EU_AFTER_MAY2004","ALL","2011","32.24"
"","EU_AFTER_MAY2004","ALL","2012","32.6"
"","EU_AFTER_MAY2004","ALL","2013","33.05"
"","EU_AFTER_MAY2004","ALL","2014","32.54"
"","EU_AFTER_MAY2004","ALL","2015","32.09"
"","EU_AFTER_MAY2004","ALL","2016","31.57"
"","EU_AFTER_MAY2004","ALL","2017","31.24"
"","EU_AFTER_MAY2004","ALL","2018","31.38"
"","EU_AFTER_MAY2004","ALL","2019","30.12"
"","EU_BEFORE_MAY2004","ALL","1995","31.34"
"","EU_BEFORE_MAY2004","ALL","1996","30.67"
"","EU_BEFORE_MAY2004","ALL","1997","30"
"","EU_BEFORE_MAY2004","ALL","1998","29.74"
"","EU_BEFORE_MAY2004","ALL","1999","29.87"
"","EU_BEFORE_MAY2004","ALL","2000","32.63"
"","EU_BEFORE_MAY2004","ALL","2001","30.59"
"","EU_BEFORE_MAY2004","ALL","2002","30.56"
"","EU_BEFORE_MAY2004","ALL","2003","31.9"
"","EU_BEFORE_MAY2004","ALL","2004","32.33"
"","EU_BEFORE_MAY2004","ALL","2005","32.07"
"","EU_BEFORE_MAY2004","ALL","2006","32.07"
"","EU_BEFORE_MAY2004","ALL","2007","32.6"
"","EU_BEFORE_MAY2004","ALL","2008","32.5"
"","EU_BEFORE_MAY2004","ALL","2009","32.38"
"","EU_BEFORE_MAY2004","ALL","2010","32.68"
"","EU_BEFORE_MAY2004","ALL","2011","32.65"
"","EU_BEFORE_MAY2004","ALL","2012","32.54"
"","EU_BEFORE_MAY2004","ALL","2013","32.76"
"","EU_BEFORE_MAY2004","ALL","2014","32.73"
"","EU_BEFORE_MAY2004","ALL","2015","32.94"
"","EU_BEFORE_MAY2004","ALL","2016","33.02"
"","EU_BEFORE_MAY2004","ALL","2017","32.35"
"","EU_BEFORE_MAY2004","ALL","2018","32.19"
"","EU_BEFORE_MAY2004","ALL","2019","30.54"
"","EU_MEMBERS","ALL","1997","30.07"
"","EU_MEMBERS","ALL","1999","29.97"
"","EU_MEMBERS","ALL","2000","31.6"
"","EU_MEMBERS","ALL","2001","30.12"
"","EU_MEMBERS","ALL","2002","30.15"
"","EU_MEMBERS","ALL","2003","31.84"
"","EU_MEMBERS","ALL","2004","32.72"
"","EU_MEMBERS","ALL","2005","32.45"
"","EU_MEMBERS","ALL","2006","32.39"
"","EU_MEMBERS","ALL","2007","32.64"
"","EU_MEMBERS","ALL","2008","32.45"
"","EU_MEMBERS","ALL","2009","32.34"
"","EU_MEMBERS","ALL","2010","32.61"
"","EU_MEMBERS","ALL","2011","32.56"
"","EU_MEMBERS","ALL","2012","32.56"
"","EU_MEMBERS","ALL","2013","32.82"
"","EU_MEMBERS","ALL","2014","32.69"
"","EU_MEMBERS","ALL","2015","32.77"
"","EU_MEMBERS","ALL","2016","32.72"
"","EU_MEMBERS","ALL","2017","32.12"
"","EU_MEMBERS","ALL","2018","32.02"
"","EU_MEMBERS","ALL","2019","30.45"
"FIN","","ALL","1996","22"
"FIN","","ALL","1997","22"
"FIN","","ALL","1998","22"
"FIN","","ALL","1999","24"
"FIN","","ALL","2000","27.2"
"FIN","","ALL","2001","27"
"FIN","","ALL","2002","26"
"FIN","","ALL","2003","27.7"
"FIN","","ALL","2004","27.9"
"FIN","","ALL","2005","27.6"
"FIN","","ALL","2006","28"
"FIN","","ALL","2007","28.3"
"FIN","","ALL","2008","27.8"
"FIN","","ALL","2009","27.5"
"FIN","","ALL","2010","27.7"
"FIN","","ALL","2011","27.6"
"FIN","","ALL","2012","27.1"
"FIN","","ALL","2013","27.2"
"FIN","","ALL","2014","26.8"
"FIN","","ALL","2015","27.1"
"FIN","","ALL","2016","27.1"
"FIN","","ALL","2017","27.4"
"FIN","","ALL","2018","27.3"
"FIN","","ALL","2019","26.2"
"FRA","","ALL","1995","29"
"FRA","","ALL","1996","29"
"FRA","","ALL","1997","29"
"FRA","","ALL","1998","28"
"FRA","","ALL","1999","29"
"FRA","","ALL","2000","31.1"
"FRA","","ALL","2001","27"
"FRA","","ALL","2002","27"
"FRA","","ALL","2003","31.4"
"FRA","","ALL","2004","30.6"
"FRA","","ALL","2005","29.8"
"FRA","","ALL","2006","29.7"
"FRA","","ALL","2007","32.4"
"FRA","","ALL","2008","33"
"FRA","","ALL","2009","32.7"
"FRA","","ALL","2010","33.7"
"FRA","","ALL","2011","33.3"
"FRA","","ALL","2012","33.1"
"FRA","","ALL","2013","32.5"
"FRA","","ALL","2014","32.3"
"FRA","","ALL","2015","32.7"
"FRA","","ALL","2016","31.9"
"FRA","","ALL","2017","31.6"
"FRA","","ALL","2018","32.4"
"FRA","","ALL","2019","29.2"
"GBR","","ALL","1999","37"
"GBR","","ALL","2000","38.4"
"GBR","","ALL","2001","37.3"
"GBR","","ALL","2002","35.1"
"GBR","","ALL","2003","35.1"
"GBR","","ALL","2004","36"
"GBR","","ALL","2005","34.3"
"GBR","","ALL","2006","34.6"
"GBR","","ALL","2007","35.7"
"GBR","","ALL","2008","34.1"
"GBR","","ALL","2009","34.3"
"GBR","","ALL","2010","34.4"
"GBR","","ALL","2011","33.2"
"GBR","","ALL","2012","32.3"
"GBR","","ALL","2013","33.2"
"GBR","","ALL","2014","34"
"GBR","","ALL","2015","33.2"
"GBR","","ALL","2016","34.8"
"GBR","","ALL","2017","35.1"
"GBR","","ALL","2018","33.5"
"GBR","","ALL","2019","32"
"GEO","","ALL","1996","37.1"
"GEO","","ALL","1997","40.7"
"GEO","","ALL","1998","41.3"
"GEO","","ALL","1999","40.1"
"GEO","","ALL","2000","40.5"
"GEO","","ALL","2001","39.6"
"GEO","","ALL","2002","37.2"
"GEO","","ALL","2003","36.7"
"GEO","","ALL","2004","36.2"
"GEO","","ALL","2005","37.4"
"GEO","","ALL","2006","36.9"
"GEO","","ALL","2007","38.1"
"GEO","","ALL","2008","38.5"
"GEO","","ALL","2009","38.2"
"GEO","","ALL","2010","39.5"
"GEO","","ALL","2011","39.6"
"GEO","","ALL","2012","39"
"GEO","","ALL","2013","38.6"
"GEO","","ALL","2014","37.6"
"GEO","","ALL","2015","36.5"
"GEO","","ALL","2016","36.6"
"GEO","","ALL","2017","37.9"
"GEO","","ALL","2018","36.4"
"GEO","","ALL","2019","35.9"
"GRC","","ALL","2000","34.2"
"GRC","","ALL","2003","32.8"
"GRC","","ALL","2004","33.6"
"GRC","","ALL","2005","34.6"
"GRC","","ALL","2006","35.1"
"GRC","","ALL","2007","34"
"GRC","","ALL","2008","33.6"
"GRC","","ALL","2009","33.6"
"GRC","","ALL","2010","34.1"
"GRC","","ALL","2011","34.8"
"GRC","","ALL","2012","36.3"
"GRC","","ALL","2013","36.1"
"GRC","","ALL","2014","35.8"
"GRC","","ALL","2015","36"
"GRC","","ALL","2016","35"
"GRC","","ALL","2017","34.4"
"GRC","","ALL","2018","32.9"
"HRV","","ALL","1999","29.2"
"HRV","","ALL","2000","29.7"
"HRV","","ALL","2001","29.9"
"HRV","","ALL","2002","29.8"
"HRV","","ALL","2003","30.4"
"HRV","","ALL","2004","30.2"
"HRV","","ALL","2005","30.9"
"HRV","","ALL","2006","30.9"
"HRV","","ALL","2007","31.2"
"HRV","","ALL","2008","31.6"
"HRV","","ALL","2009","32.6"
"HRV","","ALL","2010","32.4"
"HRV","","ALL","2011","32.3"
"HRV","","ALL","2012","32.5"
"HRV","","ALL","2013","32"
"HRV","","ALL","2014","32.1"
"HRV","","ALL","2015","31.1"
"HRV","","ALL","2016","30.9"
"HRV","","ALL","2017","30.4"
"HRV","","ALL","2018","29.7"
"HRV","","ALL","2019","29.2"
"HUN","","ALL","1999","28"
"HUN","","ALL","2000","26"
"HUN","","ALL","2001","25"
"HUN","","ALL","2002","24"
"HUN","","ALL","2003","28.2"
"HUN","","ALL","2004","29.9"
"HUN","","ALL","2005","34.7"
"HUN","","ALL","2006","28.3"
"HUN","","ALL","2007","27.9"
"HUN","","ALL","2008","27.5"
"HUN","","ALL","2009","27"
"HUN","","ALL","2010","29.4"
"HUN","","ALL","2011","29.2"
"HUN","","ALL","2012","30.8"
"HUN","","ALL","2013","31.5"
"HUN","","ALL","2014","30.9"
"HUN","","ALL","2015","30.4"
"HUN","","ALL","2016","30.3"
"HUN","","ALL","2017","30.6"
"HUN","","ALL","2018","29.6"
"HUN","","ALL","2019","28"
"IRL","","ALL","1995","33"
"IRL","","ALL","1996","33"
"IRL","","ALL","1997","33"
"IRL","","ALL","1998","34"
"IRL","","ALL","1999","32"
"IRL","","ALL","2000","33"
"IRL","","ALL","2001","29"
"IRL","","ALL","2002","32.3"
"IRL","","ALL","2003","32.9"
"IRL","","ALL","2004","33.6"
"IRL","","ALL","2005","33.8"
"IRL","","ALL","2006","32.7"
"IRL","","ALL","2007","31.9"
"IRL","","ALL","2008","30.9"
"IRL","","ALL","2009","32.7"
"IRL","","ALL","2010","32.3"
"IRL","","ALL","2011","32.9"
"IRL","","ALL","2012","33.2"
"IRL","","ALL","2013","33.5"
"IRL","","ALL","2014","31.9"
"IRL","","ALL","2015","31.8"
"IRL","","ALL","2016","32.8"
"IRL","","ALL","2017","31.4"
"IRL","","ALL","2018","28.9"
"IRL","","ALL","2019","28.3"
